time,open,high,low,close,EMA,Volume
2013-12-05,3.2305,3.2405,3.2135,3.2295,3.304016480691427,38703
2013-12-06,3.2205,3.26,3.2175,3.2485,3.3034640778984774,47037
2013-12-09,3.246,3.2595,3.231,3.258,3.3030116990139153,29998
2013-12-10,3.2535,3.279,3.247,3.2665,3.3026483985262147,46425
2013-12-11,3.2675,3.2955,3.2565,3.295,3.302572295058292,57999
2013-12-12,3.287,3.3105,3.282,3.2955,3.3025019239631845,54220
2013-12-13,3.292,3.3195,3.279,3.312,3.3025964321824564,41364
2013-12-16,3.307,3.332,3.3005,3.3295,3.3028641293746706,40433
2013-12-17,3.323,3.3355,3.3115,3.3215,3.3030495609231814,35187
2013-12-18,3.3165,3.33,3.2985,3.319,3.303208271759767,39892
2013-12-19,3.322,3.3235,3.275,3.2955,3.303131572538277,41088
2013-12-20,3.2995,3.3175,3.291,3.308,3.3031800146025727,34898
2013-12-23,3.3055,3.315,3.299,3.3075,3.3032229995319002,25004
2013-12-24,3.3085,3.42,3.3045,3.374,3.303927248292777,31209
2013-12-26,3.381,3.401,3.368,3.3985,3.3048682706978236,18554
2013-12-27,3.39,3.399,3.37,3.385,3.305665601337646,37853
2013-12-30,3.383,3.3925,3.3715,3.3825,3.306430122717371,23683
2013-12-31,3.3785,3.408,3.3665,3.3965,3.3073263404017754,28532
2014-01-02,3.3985,3.4245,3.376,3.3815,3.308064386765937,42675
2014-01-03,3.385,3.3875,3.3455,3.355,3.3085314077931414,36142
2014-01-06,3.3505,3.3645,3.3305,3.3595,3.309038557964354,38062
2014-01-07,3.3595,3.366,3.342,3.3595,3.3095406618652063,36077
2014-01-08,3.3565,3.377,3.335,3.3425,3.309868615478488,38932
2014-01-09,3.3425,3.3565,3.2885,3.299,3.309760470050841,56655
2014-01-10,3.295,3.3465,3.2895,3.3415,3.3100762862692408,46978
2014-01-13,3.345,3.3735,3.3145,3.3465,3.310438711281487,43803
2014-01-14,3.3425,3.3505,3.3205,3.336,3.310693052462766,29958
2014-01-15,3.3325,3.3635,3.308,3.358,3.3111637683586586,47715
2014-01-16,3.352,3.3695,3.3285,3.3425,3.311475571658572,38298
2014-01-17,3.337,3.364,3.3265,3.3445,3.3118041729356014,30249
2014-01-21,3.3415,3.358,3.315,3.351,3.312194181165098,52675
2014-01-22,3.346,3.355,3.323,3.337,3.312441005233107,30058
2014-01-23,3.326,3.3385,3.2765,3.2855,3.312172935529295,66314
2014-01-24,3.2785,3.2995,3.2605,3.2715,3.311768229703133,49012
2014-01-27,3.261,3.2875,3.2535,3.259,3.3112431726911615,44401
2014-01-28,3.2565,3.2735,3.246,3.253,3.310663638634533,38507
2014-01-29,3.2515,3.269,3.237,3.2405,3.309965492976478,38917
2014-01-30,3.2445,3.2585,3.2115,3.2265,3.3091349905588014,46358
2014-01-31,3.2235,3.2305,3.1905,3.197,3.308019219508465,43091
2014-02-03,3.1935,3.2025,3.175,3.1835,3.3067802222994254,35726
2014-02-04,3.182,3.2065,3.1775,3.192,3.305638130535252,41130
2014-02-05,3.194,3.216,3.185,3.1885,3.304472576997588,33340
2014-02-06,3.192,3.245,3.191,3.229,3.3037216060821892,43181
2014-02-07,3.2245,3.248,3.2225,3.236,3.303047759255501,45126
2014-02-10,3.241,3.253,3.2145,3.2245,3.302266189511665,40454
2014-02-11,3.2195,3.233,3.2025,3.215,3.3013978692180164,47529
2014-02-12,3.227,3.2635,3.2215,3.256,3.300946149126295,55392
2014-02-13,3.2525,3.256,3.219,3.25,3.300439222269317,55503
2014-02-14,3.2515,3.27,3.2445,3.2645,3.3000816180676322,34393
2014-02-18,3.2575,3.32,3.253,3.2855,3.299936527340591,63281
2014-02-19,3.2825,3.302,3.2735,3.2855,3.299792880302376,44469
2014-02-20,3.2735,3.2885,3.252,3.279,3.299585985971009,46517
2014-02-21,3.28,3.2945,3.27,3.291,3.29950055327478,34545
2014-02-24,3.2875,3.289,3.226,3.27,3.2992070154312496,42027
2014-02-25,3.261,3.2855,3.2345,3.2585,3.2988019705015854,31613
2014-02-26,3.2505,3.2755,3.221,3.2445,3.2982616523871418,34530
2014-02-27,3.1965,3.2135,3.1835,3.201,3.297293874751449,49753
2014-02-28,3.2045,3.212,3.178,3.1875,3.296201398385763,44338
2014-03-03,3.1895,3.1975,3.1565,3.172,3.2949655635759543,46017
2014-03-04,3.1725,3.222,3.166,3.2145,3.2941649112020643,51127
2014-03-05,3.211,3.2355,3.201,3.2025,3.293252822533387,35567
2014-03-06,3.2015,3.219,3.194,3.218,3.292504038229572,32413
2014-03-07,3.217,3.22,3.077,3.0825,3.290414445809377,94137
2014-03-10,3.0775,3.0775,2.9955,3.0315,3.287838182666995,79358
2014-03-11,3.042,3.057,2.942,2.952,3.284496509207622,82355
2014-03-12,2.95,2.9815,2.908,2.962,3.281287588717994,93723
2014-03-13,2.956,2.977,2.9145,2.923,3.2777225380839843,60235
2014-03-14,2.916,2.9625,2.912,2.9505,3.2744665924314074,46583
2014-03-17,2.9445,2.986,2.9215,2.952,3.2712579696211446,50706
2014-03-18,2.95,2.9925,2.939,2.9515,3.2680762982816307,48323
2014-03-19,2.951,2.998,2.877,2.987,3.265279519194251,107680
2014-03-20,2.9795,2.996,2.9135,2.9285,3.2619284792022687,64664
2014-03-21,2.9315,2.98,2.917,2.9505,3.258829688364435,44526
2014-03-24,2.947,2.969,2.921,2.9455,3.2557119800225007,43416
2014-03-25,2.9435,3.019,2.9395,3.0055,3.253222308579491,62193
2014-03-26,2.9935,3.013,2.9595,2.9655,3.2503594000364116,46100
2014-03-27,2.964,3.002,2.9625,2.993,3.247798609986298,42109
