time,open,high,low,close,EMA,Volume
2013-12-05,19.675,19.72,19.215,19.57,23.228514732638782,43425
2013-12-06,19.4,19.785,19.165,19.523,23.191643939279192,39756
2013-12-09,19.555,19.98,19.435,19.701,23.156911163763976,27756
2013-12-10,19.8,20.43,19.74,20.315,23.12863344074145,50130
2013-12-11,20.385,20.48,20.21,20.356,23.10104504829626,32199
2013-12-12,20.305,20.345,19.41,19.453,23.06474609259182,47365
2013-12-13,19.475,19.74,19.28,19.604,23.03031080808842,34478
2013-12-16,19.655,20.29,19.445,20.101,23.00116343686366,36130
2013-12-17,19.975,20.23,19.675,19.84,22.969709074307804,42566
2013-12-18,19.93,20.265,19.425,20.059,22.94074679496146,42803
2013-12-19,19.71,19.905,19.1,19.186,22.903386130334976,48505
2013-12-20,19.205,19.52,19.13,19.453,22.869053930033136,35831
2013-12-23,19.42,19.52,19.265,19.413,22.834665333714398,18059
2013-12-24,19.43,19.575,19.31,19.484,22.8013253801451,11307
2013-12-26,19.48,20.03,19.415,19.916,22.772615674870025,19216
2013-12-27,19.8,20.105,19.75,20.049,22.74551502138873,23728
2013-12-30,20.08,20.18,19.46,19.615,22.714365618190833,28235
2013-12-31,19.575,19.825,18.72,19.37,22.681088348358088,44338
2014-01-02,19.44,20.44,19.43,20.128,22.65568448419532,44686
2014-01-03,20.015,20.325,19.985,20.211,22.631359265447106,30025
2014-01-06,20.135,20.355,19.95,20.103,22.606201461810816,38845
2014-01-07,20.18,20.28,19.625,19.787,22.578149705971903,38356
2014-01-08,19.83,19.865,19.31,19.539,22.547909410390094,45235
2014-01-09,19.525,19.71,19.38,19.683,22.519402849092682,33060
2014-01-10,19.55,20.25,19.545,20.223,22.49655306949972,52337
2014-01-13,20.19,20.47,19.955,20.385,22.475542591196238,36679
2014-01-14,20.39,20.67,20.125,20.282,22.453716296756475,48791
2014-01-15,20.255,20.27,19.905,20.134,22.430634542559893,29791
2014-01-16,20.21,20.25,19.97,20.054,22.4069864376588,27857
2014-01-17,20.1,20.425,19.96,20.304,22.38606119947314,32152
2014-01-21,20.3,20.435,19.655,19.87,22.361025764652513,45891
2014-01-22,19.875,19.94,19.735,19.839,22.335930980924626,17972
2014-01-23,19.775,20.31,19.645,20.01,22.31278738907463,49947
2014-01-24,20,20.285,19.715,19.765,22.28743627077538,42716
2014-01-27,19.97,20.09,19.55,19.793,22.26261600937463,36453
2014-01-28,19.665,19.84,19.455,19.503,22.235157143609708,35157
2014-01-29,19.57,19.965,19.45,19.552,22.208459062578765,43346
2014-01-30,19.725,19.73,18.97,19.126,22.177787828125243,46372
2014-01-31,19.13,19.465,19.065,19.12,22.14736207859166,34256
2014-02-03,19.095,19.62,19.06,19.409,22.120114694725075,35666
2014-02-04,19.345,19.51,19.26,19.422,22.09326778233975,26096
2014-02-05,19.48,20.335,19.435,19.805,22.07049894868463,49127
2014-02-06,19.885,20.18,19.83,19.928,22.04918055118528,37597
2014-02-07,19.93,20.09,19.755,19.936,22.028153879034182,45554
2014-02-10,19.97,20.275,19.96,20.112,22.009087671282597,46084
2014-02-11,20.055,20.29,19.915,20.153,21.990619137239985,56199
2014-02-12,20.22,20.39,20.08,20.341,21.97420501647143,61862
2014-02-13,20.22,20.52,20.125,20.395,21.95849153372047,42797
2014-02-14,20.48,21.49,20.445,21.421,21.953143359255588,75402
2014-02-18,21.48,21.98,21.315,21.898,21.95259466911374,97555
2014-02-19,21.955,21.96,21.375,21.85,21.951573826634995,58960
2014-02-20,21.555,21.9,21.4,21.684,21.948911400499323,58933
2014-02-21,21.825,21.975,21.575,21.782,21.947250590544105,59011
2014-02-24,21.92,22.18,21.52,22.051,21.948282922976503,76421
2014-02-25,21.96,22.025,21.67,21.963,21.948429361553853,68509
2014-02-26,21.875,22.035,21.085,21.254,21.94151961666277,73725
2014-02-27,21.275,21.515,21.025,21.352,21.935653749830305,52639
2014-02-28,21.295,21.43,21.105,21.241,21.928741772220054,37007
2014-03-03,21.325,21.74,21.26,21.485,21.92432643120294,45842
2014-03-04,21.45,21.54,21.04,21.222,21.917338108504403,43764
2014-03-05,21.21,21.34,21.155,21.271,21.91090688354416,24442
2014-03-06,21.2,21.65,21.105,21.574,21.907554576245214,36310
2014-03-07,21.49,21.61,20.755,20.928,21.89780776454128,59343
2014-03-10,20.93,21.06,20.61,20.91,21.88797883156077,40324
2014-03-11,20.85,21.325,20.67,20.815,21.877302425276582,47302
2014-03-12,20.86,21.435,20.82,21.358,21.872135236965374,58041
2014-03-13,21.33,21.48,21.105,21.198,21.865427423662236,41707
2014-03-14,21.2,21.795,21.14,21.413,21.86092565825266,50788
2014-03-17,21.49,21.65,21.125,21.275,21.855095552200396,33937
2014-03-18,21.19,21.25,20.625,20.862,21.845214004417308,46679
2014-03-19,20.835,20.965,20.505,20.826,21.835072571537534,52653
2014-03-20,20.615,20.73,20.14,20.43,21.821091749930197,46874
2014-03-21,20.32,20.585,20.265,20.31,21.806056011124923,28419
2014-03-24,20.29,20.315,19.92,20.067,21.788751971213234,42850
2014-03-25,19.95,20.215,19.905,19.979,21.770744488912605,36860
2014-03-26,20,20.145,19.68,19.78,21.750936086037854,37670
2014-03-27,19.755,19.87,19.575,19.708,21.730608363788722,33838
2014-03-28,19.725,19.92,19.62,19.79,21.711298827830625,39218
2014-03-31,19.855,20.01,19.725,19.752,21.691803317105943,32429
